N°,PLACA INTERNA,PLACA RODAJE,UNIDAD,SUB UNIDAD,TIPO DE VEHICULO,AÑO,MARCA,MODELO,Nº DE  MOTOR,Nº DE SERIE,TIPO DE COMBUSTIBLE,PROCEDENCIA,ESTADO DEL VEHICULO,ESTADO DEL ODOMETRO,FUNCION POLICIAL
1,KG-24564,EPG-271,REGPOL-LL,AYUDANTIA III MACRO REGPOL-LA LIBERTAD,CAMIONETA  PICK UP,2014,TOYOTA ,HILUX 4x4,1KDU626158,MR0FZ22G3F1087306,DIESEL,MPT,OPERATIVO,OPERAT.,ASIG. AL CARGO
2,TMP-2792,T4J-556,REGPOL-LL,JEFATURA III MACRO REGPOL-LA LIBERTAD,CAMIONETA  SUV,2017,JEEP,GRAND CHEROKE,6044710029,1C4RJFAG5HC840434,GASOLINA,PRONABI,OPERATIVO,OPERAT.,ASIG. AL CARGO
3,KG-9892,COQ-523,REGPOL-LL,SECRETARIA-III-MACRO-REGPOL-LL.A,AUTOMOVIL,2008,NISSAN,ALMERA,QG16-229798P,KNMC4C2HM9P728172,GASOLINA,G/R,OPERATIVO,OPERAT.,ASIG. AL CARGO
4,PL-16207,EPC-268,REGPOL-LL,OFAD-III-MACROEGPOL LA LIBERTAD,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24750008A,3N6DD23T5FK004440,GASOLINA,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
5,TMP-2791,BBN-376,REGPOL-LL,JEFEFATURA-AREREHUN,AUTOMOVIL,2017,TOYOTA,86,FA20CB51421,JF1ZN6L81JG033001,GASOLINA,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
6,KG-9917,COQ-405,DIVPOCOM,DIV. DE POLICIA COMUNITARIA,AUTOMOVIL,2008,NISSAN,ALMERA,QG16-228355P,KNMC4C2HM9P727673,GASOLINA,G/R,OPERATIVO,OPERAT.,ADMINISTRAT.
7,PL-16192,EPC-285,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24728982A,3N6DD23T5EK084398,GASOLINA,PNP,OPERATIVO,OPERAT.,OPERATIVO
8,TMP-3312,T4D-295,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,CAMIONETA  SUV,2016,HYUNDAI,NEW TUCSON,G4NAGU199890,KMHJ3813BHU237664,GASOLINA,PRONABI,OPERATIVO,OPERAT.,OPERATIVO
9,PL-17546,EP-3622,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,MOTOCICLETA,2015,HONDA,CBX-250 TWISTER,MC35EE337304,8CHMC3500EP006679,GASOLINA,PNP,OPERATIVO,OPERAT.,OPERATIVO
10,PL-14229,EP-1768,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,MOTOCICLETA,2013,HONDA ,XR-125 L,JD21E2109780,LTMJD2191E5201177,GASOLINA,PNP,OPERATIVO,OPERAT.,OPERATIVO
